0,categoria,precios,imagenes,skus,nombres_productos
https://domicilioscanaveral.com/buscar/DONA%20LUPE,LACTEOS Y REFRIGERADOS,20500,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/122155",122155,LECHE DONA LUPE*900ml*6und ENTERA
https://domicilioscanaveral.com/buscar/DONA%20LUPE,BEBIDAS NO ALCOHOLICAS,16750,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/121655",121655,AGUA DONA LUPE*330ml*20und DE MANANTIAL
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA DESAYUNO,4950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/120717",120717,MARGARINA DONA LUPE*240g ESPARCIBLE
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA DESAYUNO,8950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/120716",120716,MARGARINA DONA LUPE*490g ESPARCIBLE
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,12950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/120140",120140,ATUN DONA LUPE*80g*3und LOMITOS A/OLIVA
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,5850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/113537",113537,BOLSA DONA LUPE*10und*3und 45*60cms STDA
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,7950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/110215",110215,BOLSA DONA LUPE*10und 65*90cms*3und STDA
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,8950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/104064",104064,ACEITE DOÑA LUPE OLIVA EXTRA VIRGEN *250ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,5850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/104037",104037,ATUN DOÑA LUPE ACEITE GIRASOL LOMITOS *170g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA DESAYUNO,26950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/103451",103451,CREMA DOÑA LUPE NO LACTEA *1000g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,5150,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/103360",103360,ARROZ DONA LUPE*1000g INTEGRAL
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,4400,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/103173",103173,BOLSA DOÑA LUPE ROSADA 43*48cm *30und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,4400,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/103172",103172,BOLSA DONA LUPE*30und 43*48cms NARANJA
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,4400,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/103171",103171,BOLSA DOÑA LUPE BLANCA 43*48cm *30und
